"Depth_mm","Core.Y..mm.","RMean","RABD620","RABD670","RABD715","RABD845","Chla_calibrated","Bphe_calibrated","depth_VT","mean_VT"
11075,86.0000000000004,0.111033276110445,1.00736672268908,1.01467348139256,1.00288477791116,0.987854781512605,7.44941021638255,0.50317386507074,11075,11836
11076,86.9999999999993,0.112464602641055,1.00736266506603,1.01397924369748,1.00303835534214,0.987904506602641,7.12475345588642,0.509702498422286,11076,11837
11077,88.0000000000002,0.111120486194477,1.00778732292917,1.01415845138055,1.00318154861945,0.987660661464586,7.20855902601786,0.477686960596796,11077,11838
11078,88.9999999999999,0.112575025210083,1.00686572629052,1.01373153661465,1.00280572629052,0.988393993997599,7.00891448656163,0.573969525984788,11078,11839
11079,90,0.116711427370949,1.00707839135654,1.0131218607443,1.00239110444178,0.988276075630252,6.72380263737351,0.558487486932373,11079,11840
11080,91.0000000000008,0.109278588235291,1.00625756302521,1.01394445378151,1.00302067226891,0.987962647058824,7.1084841269579,0.517336023490574,11080,11841
11081,91.9999999999997,0.108317176470587,1.00621883553421,1.01346558223289,1.00238650660264,0.98822974669868,6.88454225982765,0.552404750680145,11081,11842
11082,93.0000000000006,0.106891099639852,1.00642534213685,1.01411106842737,1.00327572629052,0.988030046818728,7.18640062668042,0.526185244680051,11082,11843
11083,93.9999999999995,0.106865094837934,1.00629965186074,1.01332645858343,1.00327548619448,0.988602728691476,6.81948178607032,0.601375253819363,11083,11844
11084,95.0000000000004,0.105254405762303,1.00687719087635,1.01353368547419,1.00322543817527,0.98853906722689,6.91639039751214,0.593016850433789,11084,11845
11085,95.9999999999993,0.104095780312125,1.00691382953181,1.01370304921969,1.00324702280913,0.988420787515006,6.99559249983035,0.577487368812719,11085,11846
11086,97.0000000000002,0.100115804321728,1.00722150060024,1.01387849939976,1.00348068427371,0.988009783913566,7.07764089261383,0.523524835652192,11086,11847
11087,98,0.0976297882352941,1.00621647058824,1.01381882352941,1.00314,0.989192529411765,7.04973377249556,0.678812874353828,11087,11848
11088,99,0.0976137528211286,1.00692295318127,1.01331721488595,1.00394557022809,0.989359659063626,6.81515901751449,0.700756086892673,11088,11849
11089,100.000000000001,0.0954370929171671,1.00740034813925,1.01300638655462,1.00373277310924,0.989103004801921,6.66980171433658,0.667058780933631,11089,11850
11090,101,0.0952575721488604,1.00677180072029,1.01338180072029,1.0037193997599,0.988497649459784,6.84536225755384,0.587578923313202,11090,11851
11091,102.000000000001,0.096991910204084,1.00730959183673,1.01359897959184,1.00352285714286,0.989421857142857,6.94692486267471,0.708922355755766,11091,11852
11092,103,0.0976166807923183,1.0067144057623,1.01289581032413,1.00359,0.988122019207683,6.61809129723667,0.538260718158678,11092.0000002082,11860.1421411764
11093,104,0.100781091236497,1.0058500240096,1.0125750060024,1.00309506602641,0.989249446578632,6.46806877240952,0.686285788201054,11093.0000095835,12197.0000000001
11093,104,0.100781091236497,1.0058500240096,1.0125750060024,1.00309506602641,0.989249446578632,6.46806877240952,0.686285788201054,11093.0000095835,12197.0000000001
11094,104.999999999999,0.103627302521012,1.00654571428571,1.01262495798319,1.00297445378151,0.988784487394957,6.4914285645663,0.625239181116863,11094.0000002082,12533.8575294117
11095,106,0.0986076885954379,1.00761927971188,1.01261054021609,1.00352981992797,0.989146612244898,6.48468616841628,0.672784200563633,11095,12542
11096,107,0.0998502885954382,1.00640486194478,1.01269834333733,1.00269430972389,0.989038823529412,6.52574685571115,0.658632129600336,11096,12543
11097,108,0.0986732337334936,1.00709630252101,1.01247297719088,1.00266332533013,0.989039384153661,6.42035551272671,0.658705736509264,11097,12543.9792038415
11098,109.000000000001,0.095545290876351,1.00693327731093,1.01289242496999,1.00267523409364,0.99008374909964,6.61650815342707,0.795825162790494,11098,12544.0207793517
11099,110,0.095945398559424,1.00717318127251,1.01246056422569,1.00290584633854,0.989072487394958,6.41455065209467,0.663052011699859,11099,12545
11100,111.000000000001,0.0954635152460988,1.00682533013205,1.01271396158463,1.00268603841537,0.988509599039616,6.53305065037531,0.589147838027545,11100,12546
11101,112,0.0956528621848747,1.00742705882353,1.01347453781513,1.00341537815126,0.988376184873949,6.8887302927398,0.571631285098004,11101,12547
11102,113,0.0953347488595435,1.00632605042017,1.01230116446579,1.00325286914766,0.988411022809124,6.3400081574401,0.576205316141789,11102,12548
11103,113.999999999999,0.0959997823529378,1.00629547418968,1.01307284513805,1.00302905162065,0.988668753901561,6.7008807360573,0.610044004108046,11103,12549
11104,115,0.101861863145258,1.00639746698679,1.01213582232893,1.0031593997599,0.987954387755102,6.26268674014282,0.516251621919825,11104,12550
11105,116,0.102779912364946,1.0063781152461,1.01192557022809,1.00361671068427,0.987902324129652,6.16436340444643,0.509415951611882,11105,12551
