"age";"Ca";"Ti"
12559;2.53725009613197;2.64943898774485
12560;2.22698902701224;2.48273508801176
12561;2.11931090935815;2.55772166420859
12562;2.13980640908859;2.63304138936838
12563;2.20629267561073;2.57782595699439
12564;2.12520794090988;2.56055162069025
12565;2.22382863023594;2.52067966018716
12566;2.23815934823734;2.42115789281793
12567;2.18546726923948;2.57315279192733
12568;2.14641606871413;2.49704760815924
12568;2.20389877341539;2.5900313145013
12569;2.43767116851272;2.58871142592558
12571;2.7489491037785;2.94650811439207
12572;2.51086847463731;2.66391072123728
12573;2.45880080317824;2.70141777916144
12574;2.39848174408033;2.67689652676775
12575;2.41163437428651;2.63712519951804
12576;2.31285647562031;2.58139765550869
12577;2.33404158390192;2.55956972437712
12578;2.5178319259044;2.52537628458496
12579;2.3286272175037;2.53202005335397
12580;2.75351052973297;2.74725864869681
12581;2.26216498179787;2.5373169894147
12582;2.06736150682731;2.51840688829535
12584;2.42744900428282;2.77428333291619
12585;2.29254962453603;2.56749267121038
12586;2.42923631447275;2.48464160397828
12587;2.25794431917089;2.51386956167319
12588;2.22208842775207;2.47063920183089
12589;2.25283938313648;2.44774226650794
12590;2.24212901972011;2.62651559836718
12591;2.17959263309831;2.62590922656737
12592;2.19589526077419;2.62211808784442
12593;2.37033961056398;2.68040930190902
12594;2.48862351412232;2.4783054411549
12596;2.48907012814169;2.53583189404973
12597;2.49922228387509;2.54411258210188
12598;2.48593747356926;2.66532845647506
12599;2.22537174707163;2.49958931857012
12600;2.33728766942473;2.57171116680401
12601;2.31971401036698;2.45905959427807
12602;2.42691420880068;2.45757011198918
12603;2.49348905168495;2.53306394320465
12605;2.34276168865063;2.63227663673009
12606;2.33111627615848;2.50579558059176
12607;2.30767087480413;2.44672397755637
12608;2.42759093613666;2.654559206277
12609;2.57238107022286;2.59764825100514
12611;2.66898222937939;2.51911788273281
12612;2.84777480615505;2.50091949095148
12613;2.57892538512632;2.51019668863961
12614;2.35710901055207;2.35210853712663
12616;2.43425360236004;2.63970654434022
12617;2.53135909046706;2.6390650002472
12618;2.44383257459107;2.39463249035031
12619;2.53217921993427;2.56866352299469
12620;2.37208967172549;2.47001989062045
12622;2.43240194727687;2.5586188502528
12623;2.5815371832851;2.48335625511518
12624;2.45969039942942;2.39281039906958
12625;2.28577714741836;2.27136641768555
12627;2.53539856977034;2.44112117198057
12628;2.28057292272722;2.25269655319896
12629;2.39486768362977;2.34187941761792
12630;2.4517749754054;2.38305768390729
12631;2.7458407847458;2.27441942152506
12633;2.59278984369006;2.28335081039079
12634;3.02616807976271;2.40712887135648
12635;3.4346784354538;2.52700162693055
12636;3.85927908511261;2.19308556144946
12638;4.26775858280252;2.48355872229524
12639;3.8831008271694;2.18222271716807
12640;3.90941309906184;2.38122339683234
12641;3.68468038250358;2.2136927117656
12642;3.33796958366218;2.26349391339693
12644;3.023859599814;2.38816311477211
12645;3.03660465076872;2.54582148386016
12646;3.04103700502862;2.35304288132136
12647;2.95615124241362;2.19737981302911
12649;2.71983880951323;2.26647999628267
12650;2.72301388094001;2.28765262153299
12651;3.75354556470787;2.31054585485888
12652;3.86712685750974;2.29372269372116
